stationId,stationLon,stationLat,capacity,charge_speed_station
236_ac,121.486121,30.925266,6.0,3.5
237_ac,121.519207,30.925328,9.0,7.0
238_ac,121.488941,30.925627,6.0,3.5
239_ac,121.492136,30.925712,9.0,7.0
240_ac,121.462225,30.925883,12.0,3.5
241_ac,121.466289,30.926027,12.0,3.5
242_ac,121.479758,30.926341,6.0,3.5
243_ac,121.581565,30.926549,6.0,3.5
244_ac,121.480426,30.926688,24.0,3.5
245_ac,121.583628,30.927125,10.0,7.0
246_ac,121.693011,30.927918,3.0,7.0
248_ac,121.927807,30.928463,1.0,7.0
249_ac,121.570005,30.928502,3.0,7.0
251_ac,121.510573,30.929097,9.0,7.0
253_ac,121.70266,30.930136,18.0,7.0
254_ac,121.490102,30.930797,12.0,7.0
258_ac,121.07051,30.933942,12.0,3.5
259_ac,121.292184,30.934572,12.0,3.5
260_ac,121.520591,30.934631,12.0,3.5
262_ac,121.457248,30.935509,12.0,3.5
263_ac,121.456905,30.935936,3.0,7.0
264_ac,121.313143,30.936421,12.0,3.5
266_ac,121.873086,30.938724,3.0,7.0
267_ac,121.479205,30.939379,3.0,7.0
268_ac,121.312075,30.941078,12.0,3.5
270_ac,121.462779,30.941589,3.0,7.0
271_ac,121.460966,30.941907,6.0,3.5
272_ac,121.735697,30.942051,12.0,3.5
273_ac,121.73561,30.942484,12.0,3.5
274_ac,121.460733,30.942538,12.0,3.5
275_ac,121.313202,30.943714,12.0,3.5
276_ac,121.140281,30.944972,1.0,7.0
277_ac,121.81641,30.946393,1.0,7.0
279_ac,121.458378,30.94898,12.0,3.5
280_ac,121.494398,30.949239,60.0,7.0
281_ac,121.519172,30.953603,12.0,3.5
282_ac,121.517287,30.953605,12.0,3.5
283_ac,121.518636,30.954169,12.0,3.5
284_ac,121.46025,30.954275,6.0,7.0
287_ac,121.508923,30.955835,6.0,3.5
288_ac,121.491669,30.956004,4.0,7.0
289_ac,121.510307,30.956023,12.0,3.5
290_ac,121.461047,30.956823,3.0,7.0
292_ac,121.512126,30.958898,12.0,3.5
294_ac,121.512919,30.959714,12.0,3.5
295_ac,121.435928,30.960009,6.0,3.5
298_ac,121.91302,30.960586,6.0,7.0
300_ac,121.496251,30.962685,12.0,3.5
301_ac,121.810998,30.963098,25.0,3.64
302_ac,121.510785,30.963181,1.0,7.0
